repeat,seed,synth,downstream,regime,descriptor,r2,rmse
1,1,Bootstrapping,MLP,TSTR,bitternes,0.0713772177696228,0.6677244308443545
1,1,Bootstrapping,MLP,TSTR,sweetness,-0.3641486167907715,0.7590181650443213
1,1,Bootstrapping,MLP,TSTR,X4vg,0.010304927825927734,0.8258825566595784
1,1,Bootstrapping,MLP,TSTR,diacetyl,-0.2706003189086914,0.7091859052927085
1,1,Bootstrapping,MLP,TSTR,dms,-0.2999153137207031,0.5429676248003601
1,1,Bootstrapping,MLP,TSTR,metallic,-0.22650206089019775,0.5702893500659244
1,1,Bootstrapping,MLP,TSTR,stale_hops,-0.06965506076812744,0.4092912362575485
1,1,Bootstrapping,MLP,TSTR,t2n,-0.02641582489013672,0.44460437756432647
1,1,Bootstrapping,MLP,TSTR,orange,0.08691316843032837,0.84089740040922
1,1,Bootstrapping,MLP,TSTR,coriander,-0.7494261264801025,0.45453518089149925
1,1,Bootstrapping,MLP,TSTR,clove,0.09083247184753418,0.34582004617344475
1,1,Bootstrapping,MLP,TSTR,lactic,0.47822076082229614,0.592848017367091
1,1,Bootstrapping,MLP,TSTR,acetic,0.5314780473709106,0.46262200524784
1,1,Bootstrapping,MLP,TSTR,barnyard,0.0012724995613098145,0.3976577533925834
1,1,Bootstrapping,MLP,TSTR,alcohol,0.42623549699783325,0.5258936122867586
1,1,Bootstrapping,MLP,TSTR,aftertaste,0.48754429817199707,0.469274307122394
1,1,Bootstrapping,MLP,TSTR,body,0.35745739936828613,0.4977357678086291
1,1,Bootstrapping,MLP,TSTR,co2,0.20779752731323242,0.55508591218945
1,1,Bootstrapping,MLP,TSTR,overall,-0.26129603385925293,0.6389457512051939
1,1,Bootstrapping,MLP,AUG,A_malt_all,0.2655234932899475,0.7557271994616203
1,1,Bootstrapping,MLP,AUG,A_malt_grain,-0.31137609481811523,0.631034236329812
1,1,Bootstrapping,MLP,AUG,A_malt_bread,-0.493030309677124,0.5782583701455227
1,1,Bootstrapping,MLP,AUG,A_malt_cara,-0.017978906631469727,0.7042347521473572
1,1,Bootstrapping,MLP,AUG,A_malt_burn,0.2411927580833435,0.8077344520982787
1,1,Bootstrapping,MLP,AUG,A_hops_all,-0.24168717861175537,0.654545363881666
1,1,Bootstrapping,MLP,AUG,A_hops_citrus,-0.30629706382751465,0.6181558665716052
1,1,Bootstrapping,MLP,AUG,A_hops_tropical,-1.4524402618408203,0.6042969963206766
1,1,Bootstrapping,MLP,AUG,A_hops_noble,-0.2316899299621582,0.5761589436777163
1,1,Bootstrapping,MLP,AUG,A_hops_woody,-0.3449760675430298,0.45489860235369756
1,1,Bootstrapping,MLP,AUG,A_esters_all,-0.16415178775787354,0.7234736588012366
1,1,Bootstrapping,MLP,AUG,A_esters_ethac,-0.5272831916809082,0.6119355422900239
1,1,Bootstrapping,MLP,AUG,A_esters_isoaa,-0.61033034324646,0.6819801905725182
1,1,Bootstrapping,MLP,AUG,A_esters_flower,0.16212302446365356,0.39592846764526557
1,1,Bootstrapping,MLP,AUG,A_esters_fruity,-0.49350976943969727,0.7020148308007893
1,1,Bootstrapping,MLP,AUG,F_malt_all,0.3209910988807678,0.6488892463864724
1,1,Bootstrapping,MLP,AUG,F_malt_grain,-0.17152464389801025,0.5027754167404144
1,1,Bootstrapping,MLP,AUG,F_malt_bread,0.06274038553237915,0.4110615503161856
1,1,Bootstrapping,MLP,AUG,F_malt_cara,-0.02404308319091797,0.5510680622011782
1,1,Bootstrapping,MLP,AUG,F_malt_burn,0.2668362855911255,0.7480246836904019
1,1,Bootstrapping,MLP,AUG,F_hops_all,0.16618311405181885,0.5777640633631471
1,1,Bootstrapping,MLP,AUG,F_hops_citrus,-0.49894726276397705,0.4976479522157028
1,1,Bootstrapping,MLP,AUG,F_hops_tropical,-1.308612585067749,0.555076301673724
1,1,Bootstrapping,MLP,AUG,F_hops_noble,-0.1958465576171875,0.5581757108284624
1,1,Bootstrapping,MLP,AUG,F_hops_woody,0.05536848306655884,0.5124740849897703
1,1,Bootstrapping,MLP,AUG,F_esters_all,-0.27903294563293457,0.6835826763891033
1,1,Bootstrapping,MLP,AUG,F_esters_ethac,-0.5701456069946289,0.574008176431339
1,1,Bootstrapping,MLP,AUG,F_esters_isoaa,-0.4981362819671631,0.7640905379005163
1,1,Bootstrapping,MLP,AUG,F_esters_flower,-0.0816349983215332,0.3846208522710601
1,1,Bootstrapping,MLP,AUG,F_esters_fruity,-0.35289013385772705,0.6406472132483526
1,1,Bootstrapping,MLP,AUG,acidity,0.6436395645141602,0.5656994586220454
1,1,Bootstrapping,MLP,AUG,bitternes,0.22266870737075806,0.6109148279846743
1,1,Bootstrapping,MLP,AUG,sweetness,-0.24035847187042236,0.7237605961499964
1,1,Bootstrapping,MLP,AUG,X4vg,0.31766319274902344,0.6857518381489793
1,1,Bootstrapping,MLP,AUG,diacetyl,-0.22205376625061035,0.6955058011307378
1,1,Bootstrapping,MLP,AUG,dms,-0.4188960790634155,0.5672724447403884
1,1,Bootstrapping,MLP,AUG,metallic,-0.20605289936065674,0.5655152251220281
1,1,Bootstrapping,MLP,AUG,stale_hops,-0.003360152244567871,0.3964048785109621
1,1,Bootstrapping,MLP,AUG,t2n,-0.1605309247970581,0.4727596611203787
1,1,Bootstrapping,MLP,AUG,orange,0.16141986846923828,0.8058593883135338
1,1,Bootstrapping,MLP,AUG,coriander,-0.7553528547286987,0.45530446199274627
1,1,Bootstrapping,MLP,AUG,clove,-0.19428229331970215,0.3963525863128048
1,1,Bootstrapping,MLP,AUG,lactic,0.26661473512649536,0.7028555459714376
1,1,Bootstrapping,MLP,AUG,acetic,0.5014520287513733,0.4772157881520379
1,1,Bootstrapping,MLP,AUG,barnyard,-0.1197197437286377,0.4210567486418195
1,1,Bootstrapping,MLP,AUG,alcohol,0.24512600898742676,0.6032096556315055
1,1,Bootstrapping,MLP,AUG,aftertaste,0.3651663661003113,0.5223102673186955
1,1,Bootstrapping,MLP,AUG,body,0.3935149908065796,0.4835684275121472
1,1,Bootstrapping,MLP,AUG,co2,0.0012492537498474121,0.6232620393896215
1,1,Bootstrapping,MLP,AUG,overall,-0.2441335916519165,0.6345838080955661
1,1,KDE,GBDT,TSTR,A_malt_all,-0.12037980556488037,0.9333804856605707
1,1,KDE,GBDT,TSTR,A_malt_grain,0.001332104206085205,0.550680678904978
1,1,KDE,GBDT,TSTR,A_malt_bread,-0.013694286346435547,0.47647608301816324
1,1,KDE,GBDT,TSTR,A_malt_cara,-0.1179741621017456,0.7380128402833488
1,1,KDE,GBDT,TSTR,A_malt_burn,-0.07843148708343506,0.9629398356585335
1,1,KDE,GBDT,TSTR,A_hops_all,-0.10091161727905273,0.6163251381075301
1,1,KDE,GBDT,TSTR,A_hops_citrus,0.013372540473937988,0.5372217788988134
1,1,KDE,GBDT,TSTR,A_hops_tropical,-0.05362582206726074,0.39609049507925526
1,1,KDE,GBDT,TSTR,A_hops_noble,-0.1160426139831543,0.5484436154364212
