feature,ks_stat,p_value
ethyl.hexadecanoate,0.425,4.733282090658373e-22
manool.oxide,0.235,6.793365147692429e-07
X13.epi.manool.oxide,0.3075,1.4287974061378973e-11
isopropyl.hexadecanoate,0.26,2.3312500046609637e-08
manool,0.4475,1.7140653236337424e-24
ethyl.octadecanoate,0.38,1.3455433457331859e-17
ethyl.pentanoate,0.4575,1.2645074638258938e-25
X2.ethyl.3.methylpyrazine,0.4525,4.695052729300754e-25
esters_sum,0.365,3.0901061794394883e-16
aroma_hops_sum,,
acids_sum,0.335,1.0761614686706765e-13
sulfur_sum,0.3775,2.2906981014017542e-17
