feature,ks_stat,p_value
trans.dihydro.alpha.terpinyl.acetate,0.07,0.5237842108066766
terpinen.4.ol.acetate,0.075,0.4348842202177677
X2.undecanol,0.0975,0.15513592446070518
delta.terpinyl.acetate,0.115,0.05722994272855717
X.E.E..2.4.decadienal,0.3875,2.6636631601762704e-18
methyl.geranate,0.0975,0.15513592446070518
car.3.en.2.one,0.08,0.3550125902842471
dimethoxy..E..citral,0.1475,0.005784485766244314
X2.butyloctanoate,0.0825,0.31887048886973485
X4.methoxysalicylaldehyde,0.07,0.5237842108066766
ethyl.hydrocinnamate,0.12,0.041750698523622023
eugenol,0.44,1.1586535699306233e-23
gamma.nonalactone,0.4875,3.365860681861523e-29
methyl.para.anisate,0.0975,0.15513592446070518
X.E..beta.damascenone,0.3925,8.871297583414431e-19
ethyl..9..decenoate,0.12,0.041750698523622023
vanillin,0.0625,0.6677679087796531
geosmin,0.575,3.0148588943828963e-41
dodecanal,0.0775,0.393718201317559
X4.8.alpha.epoxy.caryophyllane,0.1525,0.003863813477929572
E.caryophyllene,0.4975,1.882405282687646e-30
X.E..alpha.ionone,0.1325,0.017888195483849026
perillyl.acetate,0.0775,0.393718201317559
beta.humulene,0.3375,6.747181088266523e-14
X2.phenyl.ethyl.butyrate,0.11,0.07739524550093227
X.Z..beta.farnesene,0.1025,0.11866876494363714
pentyl.octanoate,0.135,0.014946353345597222
X.E..beta.farnesene,0.17,0.0008451620190338401
X2.methylbutyl.octanoate,0.09,0.22598532664631668
alpha.humulene,0.455,2.4417442999961203e-25
neryl.propanoate,0.155,0.0031417486775911162
X9.epi..E..caryophyllene,0.1675,0.0010609497633024907
ethyl..E..cinnamate,0.085,0.2853320095955398
linalool.isovalerate,0.1575,0.002545920584675947
alpha.terpinyl.isobutanoate,0.11,0.07739524550093227
n.dodecanol,0.1625,0.001654783216140878
germacrene.D,0.12,0.041750698523622023
X.E..beta.ionone,0.0975,0.15513592446070518
valencene,0.345,1.6256089732179386e-14
neryl.isobutanoate,0.07,0.5237842108066766
E.methyl.isoeugenol,0.2675,7.907546340659783e-09
X.Z..dihydro.apofarnesal,0.17,0.0008451620190338401
butylated.hydroxytoluene,0.165,0.0013272765649306566
X.E..dihydro.apofarnesal,0.1725,0.0006709583192474076
Z.nerolidol,0.445,3.254503288984146e-24
X.E..ortho.methoxy.cinnamaldehyde,0.1725,0.0006709583192474076
alpha.calacorene,0.125,0.030049214777110294
E.nerolidol,0.13,0.02133663714307325
dihydroisocaryophyllene.epoxide,0.0925,0.20004736274388757
caryophyllene.alcohol,0.1375,0.012446037426761309
neryl.isovalerate,0.115,0.05722994272855717
spathulenol,0.18,0.00032885998703444477
caryophyllene.oxide,0.09,0.22598532664631668
humulene.epoxide.II,0.0725,0.47833041734593434
alloaromadendrene.epoxide,0.11,0.07739524550093227
X1.10.di.epi.cubenol,0.1,0.13591413534720856
isopropyl.laurate,0.1225,0.03547991844816951
caryophylla.4.12..8.13..dien.5.alpha.ol,0.11,0.07739524550093227
gamma.eudesmol,0.255,4.708125094512707e-08
alpha.muurolol,0.1,0.13591413534720856
X1.2.dihydro.8.hydroxy..2E..linalool,0.155,0.0031417486775911162
tau.cadinol,0.0675,0.5708652482410211
selin.11.en.4.alpha.ol,0.245,1.839892503683708e-07
alpha.eudesmol,0.19,0.00012110415385776797
X14.hydroxy.9.epi..E..caryophyllene,0.09,0.22598532664631668
tau.muurolol,0.1125,0.06666569367551337
n.tetradecanol,0.0975,0.15513592446070518
foeniculin,0.3275,4.2692017312252843e-13
cadalene,0.1375,0.012446037426761309
X2.3.dihydro.farnesol,0.105,0.10326023610216986
X2E.6Z.farnesal,0.175,0.0005308357569488482
caryophyllene.acetate,0.225,2.37058383418446e-06
X14.hydroxy.alpha.humulene,0.15,0.004735656533395855
X2Z.6E.farnesal,0.2425,2.5640206061354e-07
X2Z.6Z.farnesol,0.1875,0.00015626795445660205
X2Z.6E.farnesol,0.0875,0.25438687552104255
ambroxide,0.1225,0.03547991844816951
benzyl.benzoate,0.105,0.10326023610216986
X2E.6E.methyl.farnesoate,0.1675,0.0010609497633024907
ethyl.tetradecanoate,0.09,0.22598532664631668
X2.ethylhexylsalicylate,0.15,0.004735656533395855
isopropyl.tetradecanoate,0.1,0.13591413534720856
ethyl.pentadecanoate,0.0825,0.31887048886973485
methyl.hexadecanoate,0.0525,0.8503140351383752
Z.Z.geranyl.linalool,0.065,0.6190713161830892
ethyl.hexadecanoate,0.13,0.02133663714307325
manool.oxide,0.065,0.6190713161830892
X13.epi.manool.oxide,0.0825,0.31887048886973485
isopropyl.hexadecanoate,0.3025,3.311707318175834e-11
manool,0.095,0.17647045720826873
ethyl.octadecanoate,0.0875,0.25438687552104255
ethyl.pentanoate,0.3825,7.872793294159981e-18
X2.ethyl.3.methylpyrazine,0.4,1.6551869944948066e-19
esters_sum,0.0725,0.47833041734593434
aroma_hops_sum,,
acids_sum,0.0575,0.7634242438698546
sulfur_sum,0.045,0.9468003718156517
