Feature,Skewness,Kurtosis,Shapiro_P,Is_Normal
linalool,3.739486717232004,16.408605555999177,2.1279282357208e-26,False
nonan.2.ol,-0.5649303531819849,0.6799829770125254,0.00012706147003926495,False
n.nonanal,-0.29181122971792195,-1.7517629939891814,4.926029720658984e-19,False
X2.methyl.benzofuran,-1.9794149999959685,3.252473399259588,1.2704555056221908e-20,False
heptyl.acetate,-1.287544334406183,-0.1102140563480094,2.16532644651193e-21,False
X4.methyl.1.pentanol,-6.57671564201628,46.72448667566681,1.0202073926644375e-28,False
neo.allo.ocimene,-1.107847497545033,-0.7048630823652058,6.358112044638973e-23,False
x.methyl.1.octanol,-2.853266658604919,6.545597627396255,1.0291423486466037e-26,False
trans.dihydro.beta.terpineol,-0.6494334046755137,-1.5177632046489278,4.7944336727488266e-21,False
cis.beta.terpineol,0.6385456027169568,-1.521425801766578,4.846047833484776e-22,False
y.methyl.1.octanol,0.46408664996163473,-1.7719124299530924,3.863983684416947e-22,False
camphor,-1.2731685154452868,0.4008056634792361,2.314183908285559e-19,False
isobutyl.hexanoate,-4.97806959779527,27.425049244725663,7.955387209790605e-27,False
nerol.oxide,-3.5579470199664827,13.206469910032638,5.585009507066319e-25,False
X.E..2.nonenal,9.840962157897376,104.21564292173642,1.8603889075689307e-32,False
cis.dihydro.beta.terpineol,1.6197544938567192,0.6518026276122475,3.034736472654115e-26,False
X4.ethyl.phenol,-1.5135842435802869,5.014907261364499,1.2050430484904833e-16,False
isoborneol,0.051285651872441496,-0.511508317599239,0.2405032099642883,True
ethyl.benzoate,-0.3230216855878105,3.811560277041416,1.7858993922930856e-11,False
n.nonanol,-4.967383296924482,25.51328975673466,7.9042948621008e-28,False
terpinen.4.ol,-3.2098384424524737,17.95279249884673,1.1983981493536472e-19,False
diethyl.succinate,1.9517994451718113,3.4868926538889222,8.0340680116389e-20,False
vinyl.caprylate,-3.9384300654108055,19.538461399483054,2.2802529249551582e-23,False
X1.alpha.terpineol,5.0687438062582695,38.74794459173572,8.622406842003001e-25,False
ethyl..E..linalool,-5.006043383073428,55.95629445982104,6.012018047821359e-21,False
ethyl.nicotinate,2.667974136393602,8.684965889957915,1.338160652290997e-21,False
citronellol,5.6693659791544295,44.01522801062937,7.03194114676675e-27,False
nerol,-3.525504751415362,17.413275865893258,4.380444146883551e-22,False
hydroxy.methyl.furfural,-2.8426753456975726,27.92297794221051,8.819710352407438e-17,False
E.ocimenone,-5.84574490566995,50.332154429990105,2.5148010891680167e-24,False
cumin.aldehyde,-4.367822672227403,25.30427974449753,2.1693351531870676e-24,False
ethyl.phenylacetate,-6.186238368507841,68.51579536891701,6.54174772839588e-23,False
isopentyl.hexanoate,-1.9302110619681123,2.372878084425467,4.1752638857941535e-22,False
geraniol,2.3296548615290935,6.054602173758536,2.019732565384052e-20,False
beta.cyclohomocitral,-5.0790904651051525,29.237585870727138,8.449319354381756e-27,False
E.cinnamaldehyde,-1.394072182373763,0.4162539527280802,1.9051811581785344e-20,False
n.decanol,-5.769557966513382,33.47178688316146,1.6919867282152475e-29,False
neryl.formate,-1.0883281738839343,-0.15260920849863746,9.147859166835962e-18,False
X4.ethyl.guaiacol,-0.22517094145175498,2.3679606991398914,3.6092163201865786e-11,False
X2.undecanone,-1.1177698789688693,-0.5797589247044663,1.9130000739457175e-21,False
trans.dihydro.alpha.terpinyl.acetate,-0.26384808374583013,-0.14522600452479706,0.21691462117493826,True
terpinen.4.ol.acetate,-2.082840677374108,3.473676700158896,2.1121099560936718e-21,False
X2.undecanol,-2.571987407043846,5.606398251076804,5.987090905476696e-24,False
delta.terpinyl.acetate,-4.323076348973061,22.574515406917335,1.1179314518752326e-24,False
X.E.E..2.4.decadienal,6.293429354484571,42.39788974483884,2.3461798040997727e-30,False
methyl.geranate,-2.9229446098796146,11.003715078207348,5.49992679634782e-21,False
car.3.en.2.one,-3.643849560629366,14.840297119743479,3.969282128243023e-24,False
dimethoxy..E..citral,-1.0126796036174943,-0.8479882871571403,2.630075333766856e-21,False
X2.butyloctanoate,-1.7121546950618163,1.5645452794154129,4.495445901721699e-21,False
X4.methoxysalicylaldehyde,-3.1339212006844193,10.992092820741266,7.142262161497947e-23,False
ethyl.hydrocinnamate,-5.218312298055493,37.46141710346478,2.3965130435600466e-24,False
eugenol,8.57366148873554,86.8708048196539,2.5375438460255093e-31,False
gamma.nonalactone,10.289410221532748,123.21628351078095,1.6538058649605155e-32,False
methyl.para.anisate,-2.2519710643688993,4.323202668725024,9.052162345307115e-22,False
X.E..beta.damascenone,15.792964965554063,249.6066541344032,1.759846284702638e-33,False
ethyl..9..decenoate,-5.267790729295198,31.686438746858094,1.4145218957946474e-26,False
vanillin,-2.161716075011357,4.2353198388976505,2.825803270100074e-21,False
geosmin,0.26398343355197035,-1.8461849892428834,1.7924817568328364e-20,False
dodecanal,-3.0293480851866113,8.258445309046268,2.118566089467731e-25,False
X4.8.alpha.epoxy.caryophyllane,-0.9502045562531509,-0.9787699411859494,2.6997984022193355e-21,False
E.caryophyllene,13.325005236982097,193.7201642743851,9.966142388927985e-33,False
X.E..alpha.ionone,-1.230144017422749,9.648863160834868,3.452917710083347e-19,False
perillyl.acetate,-2.727297591805571,23.950725792360785,3.131043549191349e-16,False
beta.humulene,0.9975794292713175,-0.9121092697685782,1.852488959558133e-23,False
X2.phenyl.ethyl.butyrate,-3.618226411120938,16.701453455580292,5.338257618500775e-23,False
X.Z..beta.farnesene,-2.980614491739581,8.37062762415413,1.5632305588633163e-24,False
pentyl.octanoate,-2.272450257521337,3.990856119995293,3.5218816149617896e-23,False
X.E..beta.farnesene,-0.7642662716135399,-1.354605780580591,2.5355668358280096e-21,False
X2.methylbutyl.octanoate,-2.8839733212534107,8.492045317296697,5.77708593402566e-23,False
alpha.humulene,9.295019698952839,90.22114741982948,2.5557843419229524e-32,False
neryl.propanoate,-5.372798333476459,30.432089517498746,4.966182456693886e-28,False
X9.epi..E..caryophyllene,-4.158603652088169,17.08146207089418,3.046289314319138e-27,False
ethyl..E..cinnamate,-4.529926147372512,23.979209006111578,2.3568999137787126e-25,False
linalool.isovalerate,-1.8437340877474055,1.918302516941956,2.521262697558523e-23,False
alpha.terpinyl.isobutanoate,-4.119720192724417,18.340957707235233,1.4216187865438783e-25,False
n.dodecanol,-5.249775360484062,27.629136358723365,6.292115650664511e-29,False
germacrene.D,-2.534957404214685,5.6322984248949375,1.2530096019136054e-23,False
X.E..beta.ionone,2.217844687242787,7.453851059192557,1.6849925003377995e-16,False
valencene,0.7903349481921709,-1.3646235120597436,2.479903761332653e-23,False
neryl.isobutanoate,-2.7317873912617476,6.31584227336568,7.97263926033354e-25,False
E.methyl.isoeugenol,-0.42077705518032893,-1.7617197103528766,2.074709899796934e-20,False
X.Z..dihydro.apofarnesal,-1.1556147220608513,-0.5681085873597858,2.464463849302286e-22,False
butylated.hydroxytoluene,-0.45976150751013717,-1.6667891188256694,1.6271427925479478e-19,False
