feature,ks_stat,p_value
X2.acetylpyrrole,0.4425,6.1535403542660076e-24
isoamyl.lactate,0.4275,2.5769036523328697e-22
n.octanol,0.3,5.0141468449795066e-11
cis.linalool.oxide,0.2475,1.3155963975113665e-07
meta.cymenene,0.4925,8.030852946398541e-30
terpinolene,0.1575,0.002545920584675947
linalool,0.4125,9.30947515015197e-21
nonan.2.ol,0.21,1.3909111049918432e-05
n.nonanal,0.2225,3.2116698514542253e-06
X2.methyl.benzofuran,0.37,1.104142253234075e-16
heptyl.acetate,0.33,2.7069886059800647e-13
X4.methyl.1.pentanol,0.4925,8.030852946398541e-30
neo.allo.ocimene,0.395,5.08937988499931e-19
x.methyl.1.octanol,0.535,1.9856421117503146e-35
trans.dihydro.beta.terpineol,0.35,6.176057267364492e-15
cis.beta.terpineol,0.435,4.0569152225584435e-23
y.methyl.1.octanol,0.355,2.310935718924183e-15
camphor,0.3075,1.4287974061378973e-11
isobutyl.hexanoate,0.5825,2.1226803579716186e-42
nerol.oxide,0.4875,3.365860681861523e-29
X.E..2.nonenal,0.52,2.2008103362585922e-33
cis.dihydro.beta.terpineol,0.4025,9.383029053607102e-20
X4.ethyl.phenol,0.2725,3.777560160336705e-09
isoborneol,0.145,0.007041594267935141
ethyl.benzoate,0.29,2.5402164120077263e-10
n.nonanol,0.5775,1.2512594221447655e-41
terpinen.4.ol,0.265,1.1379283602422221e-08
diethyl.succinate,0.2425,2.5640206061354e-07
vinyl.caprylate,0.4775,5.608264847321814e-28
X1.alpha.terpineol,0.3725,6.561871032713085e-17
ethyl..E..linalool,0.185,0.00020094686161401939
ethyl.nicotinate,,
citronellol,0.5175,4.745692814799091e-33
nerol,0.42,1.5774841670052679e-21
hydroxy.methyl.furfural,0.2925,1.7024836769028884e-10
E.ocimenone,0.4125,9.30947515015197e-21
cumin.aldehyde,0.3225,1.0500119566085802e-12
ethyl.phenylacetate,0.4075,2.9793621192972874e-20
isopentyl.hexanoate,0.475,1.1207782114037702e-27
geraniol,0.2575,3.3188998738590866e-08
beta.cyclohomocitral,0.4325,7.544315785501382e-23
E.cinnamaldehyde,0.38,1.3455433457331859e-17
n.decanol,0.64,6.375300242092356e-52
neryl.formate,0.315,3.9384822870007065e-12
X4.ethyl.guaiacol,0.1625,0.001654783216140878
X2.undecanone,0.4925,8.030852946398541e-30
trans.dihydro.alpha.terpinyl.acetate,0.13,0.02133663714307325
terpinen.4.ol.acetate,0.295,1.1368675236203857e-10
X2.undecanol,0.5575,1.2353721885733534e-38
delta.terpinyl.acetate,0.5225,1.0159216354079957e-33
X.E.E..2.4.decadienal,0.395,5.08937988499931e-19
methyl.geranate,0.2875,3.7763805960602245e-10
car.3.en.2.one,0.4875,3.365860681861523e-29
dimethoxy..E..citral,0.51,4.6290512300500326e-32
X2.butyloctanoate,0.4825,1.3860159973692675e-28
X4.methoxysalicylaldehyde,0.34,4.214337327417989e-14
ethyl.hydrocinnamate,0.2975,7.563952332669824e-11
eugenol,0.595,2.299380579097812e-44
gamma.nonalactone,0.56,5.30931362624084e-39
methyl.para.anisate,0.4375,2.1725787602820942e-23
X.E..beta.damascenone,0.62,1.8145566299225125e-48
ethyl..9..decenoate,0.5925,5.743520943967481e-44
vanillin,0.3675,1.8507127818953243e-16
geosmin,0.54,3.981156939946004e-36
dodecanal,0.485,6.845210352961305e-29
X4.8.alpha.epoxy.caryophyllane,0.34,4.214337327417989e-14
E.caryophyllene,0.575,3.0148588943828963e-41
X.E..alpha.ionone,0.28,1.214004316129806e-09
perillyl.acetate,0.455,2.4417442999961203e-25
beta.humulene,0.425,4.733282090658373e-22
X2.phenyl.ethyl.butyrate,0.4875,3.365860681861523e-29
X.Z..beta.farnesene,0.5525,6.590830573402916e-38
pentyl.octanoate,0.39,1.5402477576918038e-18
X.E..beta.farnesene,0.395,5.08937988499931e-19
X2.methylbutyl.octanoate,0.3875,2.6636631601762704e-18
alpha.humulene,0.4725,2.230110088045613e-27
neryl.propanoate,0.5925,5.743520943967481e-44
X9.epi..E..caryophyllene,0.49,1.6477446235204806e-29
ethyl..E..cinnamate,0.495,3.8967715307051046e-30
linalool.isovalerate,0.4725,2.230110088045613e-27
alpha.terpinyl.isobutanoate,0.5525,6.590830573402916e-38
n.dodecanol,0.6075,2.184646526704977e-46
germacrene.D,0.485,6.845210352961305e-29
X.E..beta.ionone,0.305,2.179268493798199e-11
valencene,0.2925,1.7024836769028884e-10
neryl.isobutanoate,0.5075,9.800781310234099e-32
E.methyl.isoeugenol,0.3425,2.62237603073173e-14
X.Z..dihydro.apofarnesal,0.445,3.254503288984146e-24
butylated.hydroxytoluene,0.3325,1.7100063804653984e-13
X.E..dihydro.apofarnesal,0.2475,1.3155963975113665e-07
Z.nerolidol,0.55,1.5112657010182154e-37
X.E..ortho.methoxy.cinnamaldehyde,0.3675,1.8507127818953243e-16
alpha.calacorene,0.38,1.3455433457331859e-17
E.nerolidol,0.6275,9.588477584078043e-50
dihydroisocaryophyllene.epoxide,0.5025,4.334086283842866e-31
caryophyllene.alcohol,0.51,4.6290512300500326e-32
neryl.isovalerate,0.63,3.558145161282821e-50
spathulenol,0.305,2.179268493798199e-11
caryophyllene.oxide,0.375,3.8845725475963675e-17
humulene.epoxide.II,0.4925,8.030852946398541e-30
alloaromadendrene.epoxide,0.4475,1.7140653236337424e-24
X1.10.di.epi.cubenol,0.475,1.1207782114037702e-27
isopropyl.laurate,0.34,4.214337327417989e-14
caryophylla.4.12..8.13..dien.5.alpha.ol,0.395,5.08937988499931e-19
gamma.eudesmol,0.1875,0.00015626795445660205
alpha.muurolol,0.485,6.845210352961305e-29
X1.2.dihydro.8.hydroxy..2E..linalool,0.43,1.3971797968015688e-22
tau.cadinol,0.345,1.6256089732179386e-14
selin.11.en.4.alpha.ol,0.2325,9.334081275070552e-07
alpha.eudesmol,0.3325,1.7100063804653984e-13
X14.hydroxy.9.epi..E..caryophyllene,0.4775,5.608264847321814e-28
tau.muurolol,0.455,2.4417442999961203e-25
n.tetradecanol,0.635,4.817407112692775e-51
foeniculin,0.62,1.8145566299225125e-48
cadalene,0.52,2.2008103362585922e-33
X2.3.dihydro.farnesol,0.61,8.471823541862297e-47
X2E.6Z.farnesal,0.3325,1.7100063804653984e-13
caryophyllene.acetate,0.34,4.214337327417989e-14
X14.hydroxy.alpha.humulene,0.3725,6.561871032713085e-17
X2Z.6E.farnesal,0.26,2.3312500046609637e-08
X2Z.6Z.farnesol,0.3425,2.62237603073173e-14
X2Z.6E.farnesol,0.5225,1.0159216354079957e-33
ambroxide,0.5925,5.743520943967481e-44
benzyl.benzoate,0.325,6.707822936321859e-13
X2E.6E.methyl.farnesoate,0.33,2.7069886059800647e-13
ethyl.tetradecanoate,0.475,1.1207782114037702e-27
X2.ethylhexylsalicylate,0.385,4.588358907046464e-18
isopropyl.tetradecanoate,0.5975,9.157260623066063e-45
ethyl.pentadecanoate,0.485,6.845210352961305e-29
methyl.hexadecanoate,0.4775,5.608264847321814e-28
Z.Z.geranyl.linalool,0.4625,3.348313960584187e-26
ethyl.hexadecanoate,0.4925,8.030852946398541e-30
manool.oxide,0.305,2.179268493798199e-11
X13.epi.manool.oxide,0.2325,9.334081275070552e-07
isopropyl.hexadecanoate,0.285,5.593719176379822e-10
manool,0.455,2.4417442999961203e-25
ethyl.octadecanoate,0.4975,1.882405282687646e-30
ethyl.pentanoate,0.49,1.6477446235204806e-29
X2.ethyl.3.methylpyrazine,0.52,2.2008103362585922e-33
esters_sum,0.24,3.5605076789460665e-07
aroma_hops_sum,,
acids_sum,0.255,4.708125094512707e-08
sulfur_sum,0.16,0.002056057037674531
