feature,ks_stat,p_value
ethyl.butyrate,0.205,2.4395828839507186e-05
butyl.acetate,0.075,0.4348842202177677
methylpyrazine,,
furfural,,
ethyl.lactate,0.3425,2.62237603073173e-14
X3Z.hexenol,0.395,5.08937988499931e-19
n.hexanol,0.24,3.5605076789460665e-07
styrene,0.3075,1.4287974061378973e-11
X2.furanmethanol,0.1425,0.008542796491970425
X3.methyl.2.hexanol,0.04,0.9817438034331898
X3.furanmethanol,0.065,0.6190713161830892
X2.acetylfuran,0.0775,0.393718201317559
X2.6.dimethyl.pyrazine,0.1525,0.003863813477929572
amyl.acetate,,
ethyl.tiglate,0.0825,0.31887048886973485
benzaldehyde,0.375,3.8845725475963675e-17
X5.methylfurfural,0.4,1.6551869944948066e-19
n.heptanol,0.0525,0.8503140351383752
X1.octen.3.ol,0.095,0.17647045720826873
X3.methylthio.propanol,0.165,0.0013272765649306566
isomaltol,0.1225,0.03547991844816951
X6.methyl.5.hepten.2.one,0.42,1.5774841670052679e-21
X2.pentyl.furan,0.1225,0.03547991844816951
ethyl.hex..3E..enoate,0.075,0.4348842202177677
alpha.phellandrene,0.255,4.708125094512707e-08
dehydroxy.cis.linalool.oxide,0.2175,5.833305728719634e-06
hexyl.acetate,0.375,3.8845725475963675e-17
isopentyl.butanoate,0.1675,0.0010609497633024907
X2.ethyl.1.hexanol,0.13,0.02133663714307325
beta.phellandrene,0.2225,3.2116698514542253e-06
limonene,0.4325,7.544315785501382e-23
eucalyptol,0.2825,8.255587342932922e-10
benzyl.alcohol,0.36,8.515654129464636e-16
ethyl.hex..2E..enoate,0.105,0.10326023610216986
phenylacetaldehyde,,
X.E..beta.ocimene,0.4075,2.9793621192972874e-20
prenyl.isobutyrate,0.1175,0.0489640305638351
ethyl.furoate,0.1125,0.06666569367551337
ortho.cresol,0.1575,0.002545920584675947
ethyl.5.methylhexanoate,0.125,0.030049214777110294
X2.acetylpyrrole,0.11,0.07739524550093227
isoamyl.lactate,0.0875,0.25438687552104255
n.octanol,0.0425,0.9672282978991504
cis.linalool.oxide,0.265,1.1379283602422221e-08
meta.cymenene,0.41,1.6687787389791512e-20
terpinolene,0.0525,0.8503140351383752
linalool,0.325,6.707822936321859e-13
nonan.2.ol,0.0425,0.9672282978991504
n.nonanal,0.215,7.820358278708043e-06
X2.methyl.benzofuran,0.0725,0.47833041734593434
heptyl.acetate,0.09,0.22598532664631668
X4.methyl.1.pentanol,0.1625,0.001654783216140878
neo.allo.ocimene,0.165,0.0013272765649306566
x.methyl.1.octanol,0.1475,0.005784485766244314
trans.dihydro.beta.terpineol,0.1725,0.0006709583192474076
cis.beta.terpineol,0.3875,2.6636631601762704e-18
y.methyl.1.octanol,0.3275,4.2692017312252843e-13
camphor,0.09,0.22598532664631668
isobutyl.hexanoate,0.13,0.02133663714307325
nerol.oxide,0.1125,0.06666569367551337
X.E..2.nonenal,0.445,3.254503288984146e-24
cis.dihydro.beta.terpineol,0.3875,2.6636631601762704e-18
X4.ethyl.phenol,0.0875,0.25438687552104255
isoborneol,0.04,0.9817438034331898
ethyl.benzoate,0.0725,0.47833041734593434
n.nonanol,0.155,0.0031417486775911162
terpinen.4.ol,0.0775,0.393718201317559
diethyl.succinate,0.145,0.007041594267935141
vinyl.caprylate,0.0825,0.31887048886973485
X1.alpha.terpineol,0.23,1.277990301106273e-06
ethyl..E..linalool,0.04,0.9817438034331898
ethyl.nicotinate,,
citronellol,0.2875,3.7763805960602245e-10
nerol,0.1025,0.11866876494363714
hydroxy.methyl.furfural,0.095,0.17647045720826873
E.ocimenone,0.135,0.014946353345597222
cumin.aldehyde,0.0825,0.31887048886973485
ethyl.phenylacetate,0.14,0.010328876010191355
isopentyl.hexanoate,0.0525,0.8503140351383752
geraniol,0.185,0.00020094686161401939
