target,pc_index_1based_kept,pc_index_1based_full,eigenvalue,evr,coef,intercept,train_rmse,train_r2,test_rmse,test_r2
A_malt_all,43,43,1.2052848950466335,0.005187868193892744,-0.015444761934299538,0.014852245645714284,0.6710588142243875,0.0006344049664629425,0.8178679075669492,-0.027456141204586615
A_malt_all,44,44,1.155571006972621,0.00497388633798976,-0.020401595582163354,0.014852245645714286,0.670915471194428,0.0010613028465006336,0.810585627812485,-0.009240700292057147
A_malt_all,45,45,1.1359518750886102,0.004889440352886039,0.06291659144826846,0.014852245645714258,0.6679332536156394,0.009922125796278936,1.1284639915029733,-0.9560158477619787
A_malt_all,46,46,1.1263267668504144,0.0048480113155713565,-0.03371760667245061,0.01485224564571427,0.6703227736126207,0.002825480463853447,0.8455683538739733,-0.09823277264229602
A_malt_all,47,47,1.1013439278573889,0.004740478502094882,-0.015812241417785002,0.014852245645714288,0.6710678106781539,0.0006076090837550119,0.855231881039938,-0.12347838660278754
A_malt_all,48,48,1.072255482517128,0.004615274062040328,-0.01284770940012727,0.014852245645714288,0.6711406854668815,0.0003905387289877549,0.8158250972229363,-0.022329942273779047
A_malt_all,49,49,1.0562361022533222,0.004546322369624689,0.03256020073722775,0.01485224564571428,0.6704419521258844,0.0024708681905334373,0.8389009886223319,-0.08098177100336446
A_malt_all,50,50,1.0296691782332121,0.004431971230985253,0.002139104093006357,0.014852245645714291,0.6712682877228093,1.03962322668405e-05,0.8091554534211409,-0.005682490483443381
A_malt_all,51,51,0.9645910051163866,0.0041518573875139455,0.05581635955269003,0.014852245645714293,0.6690424654078373,0.006631024710395006,1.4414912845077656,-2.191692181729203
A_malt_all,52,52,0.9382035888706446,0.004038278898292941,-0.05972152689632659,0.014852245645714355,0.6687889549153075,0.007383687688241269,0.9056051574600532,-0.25972205302471574
A_malt_all,53,53,0.9326341188083077,0.004014306411197168,-0.07690887397120341,0.014852245645714277,0.6671737511359591,0.012172467633116968,1.2110974818412856,-1.2529687103509053
A_malt_all,54,54,0.9190804381071087,0.00395596774843876,0.061271223033465314,0.014852245645714336,0.6687115503584904,0.007613442019301697,0.9497659709802547,-0.38557541381233595
A_malt_all,55,55,0.9084065093222412,0.003910024307286826,-0.040637793565931585,0.014852245645714296,0.6701598325038834,0.003310205078386752,0.836583103183623,-0.07501651297592726
A_malt_all,56,56,0.8711000307818646,0.003749447256797635,-0.06277759115435912,0.014852245645714236,0.6687244486179442,0.007575158897852208,0.8220869460429401,-0.03808391583819892
A_malt_all,57,57,0.844587434595947,0.003635329959670866,-0.08412629373534486,0.014852245645714312,0.6668302727319452,0.013189324438740213,1.3749828950700171,-1.9039661452546013
A_malt_all,58,58,0.8337089469250283,0.0035885060424231266,-0.027908354376317265,0.014852245645714298,0.6707906925546432,0.0014328388333534336,0.8130316198217756,-0.01534078194098254
A_malt_all,59,59,0.8213598636507362,0.0035353522888120735,-0.016438811399697467,0.014852245645714282,0.6711073738663674,0.0004897661052708502,0.8228923094585396,-0.04011884493161011
A_malt_all,60,60,0.7889342692592156,0.0033957838676834506,-0.003030871493008314,0.014852245645714291,0.6712664097243171,1.5991540061044418e-05,0.8118393928408599,-0.01236518026286193
A_malt_all,61,61,0.7706106365714271,0.0033169140572276634,-0.01902738870863984,0.0148522456457143,0.6710651234446792,0.0006156130299058704,0.8485571137301027,-0.10601015678833403
A_malt_all,62,62,0.7555738382193433,0.003252191659868045,0.003369438637262479,0.014852245645714291,0.6712654241093383,1.8928074585700116e-05,0.8081708063584039,-0.0032363849746028794
A_malt_all,63,63,0.7347752395314049,0.003162668934532206,-0.010353441175402172,0.014852245645714293,0.6712134425589654,0.00017379543988083057,0.8064389459883275,0.001058755811435108
A_malt_all,64,64,0.7082874418610284,0.0030486583768415316,-0.029448342914425555,0.014852245645714308,0.6708167247855696,0.001355331987677677,0.865962163072898,-0.15184698829151544
A_malt_all,65,65,0.688020226856627,0.0029614228688448502,0.0033202495774945725,0.014852245645714291,0.6712661597846635,1.6736208962808696e-05,0.8086064314587985,-0.004318217513199052
A_malt_all,66,66,0.6772016658621743,0.0029148568920227165,0.017953786308567168,0.014852245645714291,0.6711100937515073,0.00048166439562769003,0.8156536873995759,-0.021900391905212313
A_malt_all,67,67,0.6634921720629949,0.002855847568063354,0.08759071263791199,0.014852245645714305,0.6674911883738348,0.011232239271419808,1.174923073671124,-1.1203903714602959
A_malt_all,68,68,0.6409585241701791,0.002758856727411531,-0.00495187160803671,0.014852245645714293,0.6712601370194203,3.4680320516011776e-05,0.807360174524548,-0.0012248114848971703
A_malt_all,69,69,0.6285796789101241,0.0027055748702625,-0.09722940446408884,0.014852245645714265,0.6668563870148169,0.013112032333767232,1.2795852556591112,-1.5149850760543
A_malt_all,70,70,0.6176096514738066,0.002658356941408592,-0.059642974325529015,0.014852245645714312,0.6696426956935715,0.00484782667107686,0.8558410243700362,-0.12507936313356138
A_malt_all,71,71,0.6014008530550752,0.0025885899426489316,0.052859673047242164,0.014852245645714277,0.6700261187372215,0.0037078948375574017,0.8145862068054721,-0.01922733340580196
A_malt_all,72,72,0.595701772926808,0.002564059579202587,0.0045615308810980845,0.014852245645714293,0.6712625972235176,2.735045494206556e-05,0.8099144755322,-0.007570121010212372
A_malt_all,73,73,0.580678617484791,0.002499395904572755,-0.02177012200841294,0.01485224564571431,0.6710679291424065,0.0006072562363043099,0.8289717662794827,-0.05554423107633033
A_malt_all,74,74,0.5732858092185649,0.0024675752827218373,0.022512815894666683,0.014852245645714279,0.6710565567602056,0.0006411287533887311,0.8135488086640539,-0.01663295787201302
A_malt_all,75,75,0.5611254707768586,0.002415233937295569,0.05441593901026103,0.014852245645714274,0.670040109061425,0.0036662887130136657,0.8723952364435846,-0.1690242737567249
A_malt_all,76,76,0.5379049081433639,0.0023152864320827534,-0.03843454416114712,0.014852245645714317,0.6706830387897155,0.001753328933893572,1.0030070031975018,-0.5452718339114764
A_malt_all,77,77,0.5255443044155779,0.0022620830913620414,-0.03977346394505349,0.014852245645714291,0.670655780510291,0.0018344698966696882,1.0858519202155839,-0.8110822130861737
A_malt_all,78,78,0.5116066105971625,0.002202091533553649,-0.05597810788032836,0.014852245645714322,0.6700834391101945,0.003537423041807597,0.8478821356791435,-0.1042513225126569
A_malt_all,79,79,0.5067088423753145,0.002181010230632151,0.05912697183770176,0.014852245645714293,0.6699585567720412,0.003908806584031033,0.8178487612684048,-0.02740803624392485
A_malt_all,80,80,0.49253109656412436,0.002119985424914227,-0.018063942099617716,0.014852245645714282,0.6711527406091045,0.00035462809889241775,0.8057064655594018,0.0028725883762608095
A_malt_all,81,81,0.4790883994775237,0.0020621244652835897,0.0008377213318397853,0.014852245645714291,0.6712715280814767,7.418724227159501e-07,0.809722554097518,-0.007092659753422215
A_malt_all,82,82,0.46528172948362084,0.0020026968690204086,0.059235056099139656,0.014852245645714267,0.6700616023655501,0.0036023676233934987,0.819091007538101,-0.030531506388071117
A_malt_all,83,83,0.45547229144159773,0.001960474426984242,-0.036963622046666075,0.014852245645714288,0.6708107324304918,0.0013731735425994707,0.8110908942777377,-0.010499282714599767
A_malt_all,84,84,0.45053788384121485,0.0019392354183889022,-0.04932830620582202,0.014852245645714326,0.6704593780120472,0.0024190126795705647,0.985749801376261,-0.49255503697717673
A_malt_all,85,85,0.4367459303637133,0.0018798711659439974,-0.027187963368888245,0.014852245645714295,0.6710326424912386,0.0007123552715133652,0.8134377936010257,-0.01635552185275224
A_malt_all,86,86,0.41533279370058884,0.001787703304982126,0.10532977603394184,0.01485224564571429,0.6678504900364298,0.010167471604061062,0.9475041976829284,-0.3789840511336824
A_malt_all,87,87,0.3998731018481733,0.0017211606610162558,-0.08915567323399781,0.014852245645714293,0.6689136540150225,0.0070134964667804,1.4217240846913113,-2.1047568877847707
A_malt_all,88,88,0.3987069396982124,0.0017161411875693,0.03280635243697145,0.014852245645714295,0.6709539028344207,0.0009468563816564801,0.8105751039328029,-0.00921449440241795
A_malt_all,89,89,0.3941755864867702,0.0016966370327445393,0.07182637909431316,0.014852245645714303,0.6697640300053589,0.004487165548354377,0.8306188145611964,-0.05974282864098801
A_malt_all,90,90,0.37729773726772353,0.001623990260595767,0.03189349775145723,0.014852245645714274,0.6709874859620539,0.0008468430461294751,0.8056544252019947,0.003001392582981266
A_malt_all,91,91,0.3719439901607688,0.0016009463027328078,0.008919809314473814,0.014852245645714295,0.6712498602074876,6.529848565961505e-05,0.8068488611305855,4.296852969787324e-05
A_malt_all,92,92,0.356689136989223,0.0015352853391743919,-0.135580080392832,0.01485224564571427,0.6663982446257769,0.014467586265594301,2.273738209399042,-6.941049039311078
A_malt_all,93,93,0.3431824800366267,0.0014771490791929012,0.08707267613375606,0.014852245645714232,0.6693420477437324,0.005741208467621051,0.8304425907503793,-0.059293206971305024
A_malt_all,94,94,0.3391832803770697,0.001459935455426348,0.03301477835385267,0.014852245645714303,0.6709979208527923,0.0008157660579219961,0.8114991925212054,-0.011516897217450195
A_malt_all,95,95,0.3314330796148968,0.0014265765207913924,-0.12239432759443876,0.014852245645714269,0.6675845859844244,0.010955516495903872,0.9238753996043333,-0.3110636129227493
A_malt_all,96,96,0.32453806198654195,0.0013968985228363213,0.05320812151046308,0.014852245645714246,0.6705909691667911,0.0020273835344017943,0.8247843170588923,-0.044907260295342644
A_malt_all,97,97,0.3149723405638439,0.0013557251022414056,0.018414124479400242,0.014852245645714303,0.6711926758987923,0.00023566169139499493,0.8066142168619919,0.000624490249391707
A_malt_all,98,98,0.30721620015604656,0.0013223406017848383,-0.01680090552395193,0.014852245645714296,0.6712075507536663,0.00019134799500730715,0.8122028752400822,-0.013271909609713362
A_malt_all,99,99,0.29370606768199287,0.00126418938223047,-0.11562939369121944,0.014852245645714393,0.6683571963905491,0.008664905664870881,0.9504539968693881,-0.38758360758310695
