pc_index_1based,eigenvalue,explained_variance_ratio,kept
70,0.6176096514738066,0.002658356941408592,True
71,0.6014008530550752,0.0025885899426489316,True
72,0.595701772926808,0.002564059579202587,True
73,0.580678617484791,0.002499395904572755,True
74,0.5732858092185649,0.0024675752827218373,True
75,0.5611254707768586,0.002415233937295569,True
76,0.5379049081433639,0.0023152864320827534,True
77,0.5255443044155779,0.0022620830913620414,True
78,0.5116066105971625,0.002202091533553649,True
79,0.5067088423753145,0.002181010230632151,True
80,0.49253109656412436,0.002119985424914227,True
81,0.4790883994775237,0.0020621244652835897,True
82,0.46528172948362084,0.0020026968690204086,True
83,0.45547229144159773,0.001960474426984242,True
84,0.45053788384121485,0.0019392354183889022,True
85,0.4367459303637133,0.0018798711659439974,True
86,0.41533279370058884,0.001787703304982126,True
87,0.3998731018481733,0.0017211606610162558,True
88,0.3987069396982124,0.0017161411875693,True
89,0.3941755864867702,0.0016966370327445393,True
90,0.37729773726772353,0.001623990260595767,True
91,0.3719439901607688,0.0016009463027328078,True
92,0.356689136989223,0.0015352853391743919,True
93,0.3431824800366267,0.0014771490791929012,True
94,0.3391832803770697,0.001459935455426348,True
95,0.3314330796148968,0.0014265765207913924,True
96,0.32453806198654195,0.0013968985228363213,True
97,0.3149723405638439,0.0013557251022414056,True
98,0.30721620015604656,0.0013223406017848383,True
99,0.29370606768199287,0.00126418938223047,True
100,0.28021897028297404,0.0012061373117931349,True
101,0.27425084803589356,0.0011804489191897458,True
102,0.26521662980912314,0.001141563230347246,True
103,0.26115338772056274,0.0011240739508565963,True
104,0.2557123180814165,0.001100654133485874,True
105,0.2424908328388066,0.001043745328731041,True
106,0.2370213463642927,0.0010202031977090149,True
107,0.23481237184582068,0.0010106951812287642,True
108,0.22725266854960544,0.0009781561985808618,True
109,0.22031063953247068,0.0009482758510488532,True
110,0.2193434475927778,0.0009441127985440527,True
111,0.2147939504540835,0.0009245305474090419,True
112,0.2049420656064698,0.0008821254029814654,True
113,0.1983147237529515,0.0008535995530739284,True
114,0.18347288222499203,0.0007897163019702809,True
115,0.1812286286340857,0.0007800564349370663,True
116,0.17743592046448228,0.0007637316057098308,True
117,0.17107781921176593,0.0007363646392788439,True
118,0.16701208729417225,0.0007188646428988489,True
119,0.15928142335834425,0.0006855897999839676,True
120,0.1515182600336935,0.0006521750710170109,True
121,0.14879044304209832,0.0006404338179177515,True
122,0.14542359022798954,0.0006259419839126821,True
123,0.14130838831801498,0.0006082290554690068,True
124,0.14106358290343565,0.0006071753475620976,True
125,0.13713763992531633,0.0005902770401238105,True
126,0.12786343418962204,0.0005503583809275011,True
127,0.124974966355452,0.0005379256436820938,True
128,0.11746449163774712,0.0005055985539880766,True
129,0.11402622346863688,0.000490799329215654,True
130,0.1079222956184087,0.00046452639301430084,True
131,0.10131086483205155,0.00043606902859064854,True
132,0.0994625974571709,0.00042811359202344425,True
133,0.0951019076119712,0.000409344017921657,True
134,0.09004704839363732,0.0003875865533826318,True
135,0.08574241440702901,0.00036905825867218417,True
136,0.0823057492772276,0.00035426593380921706,True
137,0.0781993449662555,0.0003365908725820273,True
138,0.07647388584471335,0.00032916403554681805,True
139,0.07169666485591748,0.00030860160012194534,True
140,0.06973319486804885,0.00030015030073074825,True
141,0.06592910925723788,0.00028377649995694223,True
142,0.06277937688081028,0.00027021921032185497,True
143,0.06161447341898254,0.00026520515460489694,True
144,0.05890951078905843,0.0002535622727840733,True
145,0.05839559224245817,0.00025135023006030225,True
146,0.05309748635837221,0.00022854576688575791,True
147,0.050993323175666634,0.0002194888863961903,True
148,0.048498988795105134,0.00020875260483236343,True
149,0.047843986858062536,0.00020593330150409103,True
150,0.04610350886314025,0.00019844181922539026,True
151,0.04404679481995624,0.00018958917250890253,True
152,0.042752248545621555,0.00018401709949135805,True
153,0.03823761601735484,0.00016458491495410614,True
154,0.037484871344509146,0.0001613449007778501,True
155,0.033398694014980086,0.0001437569018826601,True
156,0.03232959381014046,0.00013915520897871215,True
157,0.030791663755164712,0.00013253554714653455,True
158,0.028524097912682136,0.00012277533795440176,True
159,0.027246133929988876,0.00011727463955023039,True
160,0.024200727140449383,0.00010416639511288043,True
161,0.023053169900403007,9.922700216871051e-05,True
162,0.01963327539417405,8.450686255006269e-05,True
163,0.01810027796061296,7.790843203825985e-05,True
164,0.017524364135174095,7.542954507162131e-05,True
165,0.015514369589107955,6.67779915523756e-05,True
166,0.014653343202498562,6.307190395138527e-05,True
167,0.01330567343180336,5.727117321295693e-05,True
168,0.011190738704010827,4.8167929115593905e-05,True
169,0.010407861374599588,4.479821593519673e-05,True
170,0.009996245411064777,4.30265108602417e-05,True
171,0.008967459446091938,3.8598341215089595e-05,True
172,0.0070134857180122615,3.0187916263058337e-05,True
173,0.006463419240767768,2.7820283188462373e-05,True
174,0.005240463583137335,2.255635531146311e-05,True
175,2.0680654732640332e-15,8.901506304216246e-18,False
176,1.935896462216944e-15,8.332615570210222e-18,False
177,1.4941944499755373e-15,6.431412103790809e-18,False
178,1.4673603398486756e-15,6.315910924766098e-18,False
179,1.3078153057013375e-15,5.62918647351967e-18,False
180,1.1361499793242228e-15,4.890293046441923e-18,False
181,1.058878644665135e-15,4.557696578150488e-18,False
182,1.0327971666184013e-15,4.445434928672895e-18,False
183,1.0258752428384317e-15,4.415641119452989e-18,False
184,9.34583627866781e-16,4.022697619018425e-18,False
185,8.318286535417647e-16,3.580412757359729e-18,False
186,7.886184399138513e-16,3.3944244538035895e-18,False
187,7.257561843740386e-16,3.1238485115914082e-18,False
188,6.698971443515517e-16,2.8834162799547305e-18,False
189,6.357224433747274e-16,2.7363192367891784e-18,False
190,4.804138969673942e-16,2.0678297606017706e-18,False
191,4.4184908968538456e-16,1.9018365270317107e-18,False
192,3.889112558582099e-16,1.6739779472932222e-18,False
193,3.84807730800375e-16,1.6563152791407603e-18,False
194,3.8080879646152555e-16,1.6391027973854157e-18,False
195,2.6480448707932894e-16,1.139789257929579e-18,False
196,2.5534072241571785e-16,1.0990546864646852e-18,False
197,2.0120507323760944e-16,8.660403894457399e-19,False
198,1.7951111452346264e-16,7.726637953514531e-19,False
199,1.520653486598677e-16,6.545298866250334e-19,False
200,1.3141781327215788e-16,5.656573780916628e-19,False
201,2.6973453169385994e-17,1.161009487068191e-19,False
202,0.0,0.0,False
203,0.0,0.0,False
204,0.0,0.0,False
205,0.0,0.0,False
206,0.0,0.0,False
207,0.0,0.0,False
208,0.0,0.0,False
209,0.0,0.0,False
210,0.0,0.0,False
211,0.0,0.0,False
212,0.0,0.0,False
213,0.0,0.0,False
214,0.0,0.0,False
215,0.0,0.0,False
216,0.0,0.0,False
217,0.0,0.0,False
218,0.0,0.0,False
219,0.0,0.0,False
220,0.0,0.0,False
221,0.0,0.0,False
222,0.0,0.0,False
223,0.0,0.0,False
224,0.0,0.0,False
225,0.0,0.0,False
226,0.0,0.0,False
227,0.0,0.0,False
228,0.0,0.0,False
229,0.0,0.0,False
230,0.0,0.0,False
231,0.0,0.0,False
