Chemical_Feature,Impact_+15%,Impact_-15%,Sensitivity,Rank
X3.methylthio.propanol,0.0010985220864085875,-0.0019353012303376666,0.003033823316746254,70
terpinolene,-0.0010022898442599974,0.0019885544729670067,0.002990844317227004,71
nonan.2.ol,0.00041657034174026234,0.002497315734181249,0.0029138860759215113,72
betaglucan.mg.L.,-0.0011089851644072502,0.0017434801753189971,0.0028524653397262473,73
X2E.6E.methyl.farnesoate,0.0024421080555083064,-0.00040419461243950143,0.002846302667947808,74
terpinen.4.ol.acetate,0.0007730359910631078,0.0020547247317181717,0.0028277607227812796,75
isopropyl.tetradecanoate,0.0023418560874625075,-0.00043741589784949367,0.002779271985312001,76
diethyl.succinate,-0.0012077006720874915,0.0014735049062425012,0.0026812055783299927,77
X3.furanmethanol,0.0007171885117088366,0.0019573531052108047,0.002674541616919641,78
ethyl.phenylacetate,-0.0007011420417807403,0.0019366819629175437,0.002637824004698284,79
alloaromadendrene.epoxide,0.0013605959402976753,0.0012163878993816794,0.0025769838396793544,80
E.methyl.isoeugenol,0.0016467664643750074,-0.0009192437527279859,0.002566010217102993,81
X.E..dihydro.apofarnesal,0.0015041841697675115,-0.001022205541512492,0.002526389711280003,82
X1.octen.3.ol,0.0022805404891971743,0.00023912880367714246,0.002519669292874317,83
ethyl.pentadecanoate,-0.0007728739905835797,0.0017420251226450895,0.002514899113228669,84
ethyl.octadecanoate,0.0016134489571847652,-0.0008420723861126625,0.002455521343297428,85
isopropyl.laurate,0.002070868650140273,-0.00037498373525132815,0.002445852385391601,86
propylene.glycol,0.00206268716675043,0.00038099291868659075,0.002443680085437021,87
hydroxy.methyl.furfural,0.0005506751233883489,-0.0018425446060938283,0.002393219729482177,88
caryophyllene.oxide,0.0023740130587414994,7.877763042174624e-06,0.002381890821783674,89
dihydroisocaryophyllene.epoxide,0.0008981657413312506,0.0014700682402275056,0.002368233981558756,90
X9.epi..E..caryophyllene,-0.0004899082797680248,0.001847629400524924,0.0023375376802929485,91
ethyl_acetate,0.0021088638588015003,0.00021192215493950916,0.0023207860137410092,92
trans.dihydro.alpha.terpinyl.acetate,0.0010480023053670057,0.0012561109024840102,0.002304113207851016,93
cis.linalool.oxide,-0.0013560067969289862,0.0009332111353335001,0.0022892179322624865,94
ethyl_propionate,0.0013040923113955077,-0.0009481075186225007,0.002252199830018008,95
humulene.epoxide.II,-0.001353775987687664,0.0008609761186756705,0.0022147521063633343,96
isopentyl.formate,0.0015470037233695077,-0.0006595203896664942,0.002206524113036002,97
ortho.cresol,0.0015679087039902567,-0.0005625468271015802,0.002130455531091837,98
alpha.humulene,0.000739294151597511,-0.001342029645918989,0.0020813237975165003,99
X3.methyl.2.butenal,0.0010053932611883399,0.001059944636637015,0.002065337897825355,100
n.nonanol,0.001628243595101002,-0.0003946810069943267,0.0020229246020953286,101
X2.methyl.benzofuran,-0.00032926389441965796,0.00160340681975284,0.0019326707141724979,102
caryophyllene.acetate,-0.0003646678667369883,0.0014400005803859763,0.0018046684471229647,103
n.octanol,0.001050565927644593,0.0006901669682645859,0.001740732895909179,104
CO2.PSI.,-0.000920058177277496,0.0007976562752223368,0.0017177144524998327,105
linalool,-0.0003748605988131585,0.001341371771233006,0.0017162323700461643,106
beta.cyclohomocitral,-0.0006660854207569976,0.0010396503895190945,0.0017057358102760922,107
X4.methoxysalicylaldehyde,-0.0002895678396820048,0.0014048121327695001,0.001694379972451505,108
X2.pentyl.furan,-2.666805090808251e-05,0.0016275598411472586,0.0016542278920553411,109
ethyl.hex..3E..enoate,-0.0004405707522909912,0.0011820149583170025,0.0016225857106079936,110
ethyl.furoate,0.0007201271396430066,-0.0008638875113231284,0.001584014650966135,111
X2.ethyl.3.methylpyrazine,-0.0003717056147114977,0.001211340233830667,0.0015830458485421649,112
methylpyrazine,0.000789530311968505,-0.0007777985418412535,0.0015673288538097586,113
trans.dihydro.beta.terpineol,-0.00025658556003782735,0.0013026654642010033,0.0015592510242388308,114
caryophylla.4.12..8.13..dien.5.alpha.ol,0.000547808586693172,-0.0009688602291631598,0.0015166688158563318,115
isopentyl.butanoate,0.0009446791133830096,-0.0005250604640821687,0.0014697395774651784,116
bitterness,0.0012011951921161701,-0.0002520604564053149,0.001453255648521485,117
butyl.acetate,0.0009063512046935024,-0.0005063040958144926,0.0014126553005079949,118
gamma.eudesmol,-0.0004483822586478989,0.0009318907741784685,0.0013802730328263675,119
H2S,0.001006728712353012,-0.00036169360286124655,0.0013684223152142586,120
X2.methyl.1.butanol,0.000564791969732081,-0.0008020861901440712,0.0013668781598761522,121
beta.phellandrene,-0.00035439095221598965,0.0009626545083677965,0.0013170454605837861,122
phenylacetaldehyde,0.0009618248714065046,-0.00033821804371100107,0.0013000429151175056,123
E.cinnamaldehyde,-0.0008536418532565712,0.0004281601057955914,0.0012818019590521627,124
manool.oxide,-0.0002813224535200477,0.0009968808653133133,0.001278203318833361,125
dodecanal,0.00010165912804501109,0.001170734538156503,0.001272393666201514,126
methyl.para.anisate,-0.0004377612449710014,0.0007791726541785018,0.0012169338991495032,127
X2.butyloctanoate,-0.0001565639548612425,0.0010483807856379963,0.0012049447404992389,128
ethyl_octanoate,0.000832947032695418,-0.00036183734528924587,0.001194784377984664,129
isopentyl.hexanoate,0.000644455042748718,0.0005359814529149543,0.0011804364956636724,130
ethyl.pentanoate,-0.00034512598223899413,0.0008056491308622456,0.0011507751131012397,131
X.E..ortho.methoxy.cinnamaldehyde,-0.0007956914178899896,0.00035095654004049917,0.0011466479579304888,132
ethyl.hexadecanoate,0.0009220805282002534,-0.00021961746134812157,0.001141697989548375,133
sulfur_sum,0.0007692666733085066,-0.0003715060277574995,0.001140772701066006,134
