pc,explained_variance_ratio,cumulative_evr
170,0.00022834910190180698,0.9957806198245666
171,0.00022413287855135112,0.996004752703118
172,0.00021489529970871178,0.9962196480028267
173,0.00020877885082522742,0.996428426853652
174,0.0001917236679173298,0.9966201505215693
175,0.0001911717654472738,0.9968113222870165
176,0.00017678108775703584,0.9969881033747735
177,0.00016728284992240415,0.9971553862246959
178,0.0001638222485218441,0.9973192084732178
179,0.00015815452096404616,0.9974773629941818
180,0.0001454078581603044,0.9976227708523421
181,0.00013694398644504318,0.9977597148387871
182,0.00013405587507123886,0.9978937707138583
183,0.00012555150628873926,0.9980193222201471
184,0.00012485072605893685,0.998144172946206
185,0.0001182984845822517,0.9982624714307883
186,0.00011063489277046958,0.9983731063235588
187,0.00010661693570300204,0.9984797232592618
188,0.00010345477810746808,0.9985831780373693
189,9.933950240490486e-05,0.9986825175397742
190,9.304283966167539e-05,0.9987755603794359
191,8.879064524096321e-05,0.9988643510246769
192,8.39792777081013e-05,0.998948330302385
193,8.062880591636767e-05,0.9990289591083014
194,7.129871616141837e-05,0.9991002578244628
195,6.83706974608925e-05,0.9991686285219237
196,6.60010119942474e-05,0.999234629533918
197,6.40042146027046e-05,0.9992986337485207
198,6.015916233828971e-05,0.9993587929108589
199,5.3836867619404616e-05,0.9994126297784783
200,5.295354693324141e-05,0.9994655833254116
201,4.7205197125441966e-05,0.999512788522537
202,4.411074010687623e-05,0.9995568992626439
203,4.176556919693612e-05,0.9995986648318408
204,4.0088668225404704e-05,0.9996387535000661
205,3.930414064765122e-05,0.9996780576407138
206,3.1091446143750135e-05,0.9997091490868576
207,2.927394834784983e-05,0.9997384230352054
208,2.6986376240595867e-05,0.999765409411446
209,2.6246412350559072e-05,0.9997916558237966
210,2.519497226211338e-05,0.9998168507960588
211,2.1291860225685162e-05,0.9998381426562845
212,2.0138669846125998e-05,0.9998582813261306
213,1.8071609980618425e-05,0.9998763529361112
214,1.646214821413038e-05,0.9998928150843254
215,1.442746043758386e-05,0.9999072425447629
216,1.3761185741393355e-05,0.9999210037305043
217,1.2426868212536354e-05,0.9999334305987169
218,1.0572404852688493e-05,0.9999440030035696
219,9.94661254806909e-06,0.9999539496161176
220,9.009921351224401e-06,0.9999629595374688
221,6.9295920496027435e-06,0.9999698891295185
222,5.940681897001379e-06,0.9999758298114154
223,5.5230813025560134e-06,0.999981352892718
224,4.427926377991548e-06,0.999985780819096
225,4.263813353142241e-06,0.9999900446324491
226,2.9376048860917533e-06,0.9999929822373352
227,2.0797231465474087e-06,0.9999950619604818
228,1.6826897925161895e-06,0.9999967446502743
229,1.5857440976313446e-06,0.9999983303943719
230,1.001332986314614e-06,0.9999993317273582
231,6.682726418075972e-07,1.0
